month,year,latitude,longitude,price,room_type
2,2024,40.4226564,-3.6960838,90.0,Small Single Room
2,2024,40.447457,-3.54927,98.0,Standard Queen Room
2,2024,40.42148464,-3.67212184,194.0,Standard Queen Room
2,2024,40.51257565,-3.67628932,98.0,Standard Room with Two Single Beds - Non-Smoking
2,2024,40.41589831,-3.71266663,30.0,Single Bed in 8-Bed Mixed Dormitory Room
2,2024,40.3631207,-3.7621126,40.0,Double Room
2,2024,40.4491117,-3.55867714,130.0,Premium King Room
2,2024,40.42148464,-3.72164011,129.0,Small Double Room
2,2024,40.45596031,-3.68974328,220.0,Standard Queen Room
2,2024,40.41634894,-3.70546907,110.0,Double or Twin Room
2,2024,40.419718,-3.701839,229.0,King Cobalto Room
2,2024,40.42810127,-3.69599283,180.0,Standard Double or Twin Room
2,2024,40.3905498,-3.7415452,45.0,Single Room
2,2024,40.44800846,-3.58219743,155.0, Double or Twin Room with free airport shuttle
2,2024,40.4204024,-3.69931206,108.0,Single Room
2,2024,40.4186758,-3.705107,151.0,Studio
2,2024,40.41334697,-3.700912,113.0,Single Room
2,2024,40.45126402,-3.69370624,205.0,Double Room with Two Double Beds
2,2024,40.43539095,-3.66390824,124.0,Standard Double or Twin Room
2,2024,40.4542353,-3.6125369,113.0,Single Room
2,2024,40.42752447,-3.68504539,207.0,Standard Single Room
2,2024,40.43713439,-3.7085335,142.0,Comfort Room
2,2024,40.44888105,-3.711382,209.0,Economy Single Room
2,2024,40.44714301,-3.54347706,64.0,Double Room - Single Use
2,2024,40.45824608,-3.58274058,114.0,Double or Twin Room (1-2 Adults)
2,2024,40.39413121,-3.70774359,117.0,Double or Twin Room
2,2024,40.4980714,-3.6645627,110.0,Standard Double or Twin Room
2,2024,40.47039204,-3.68518353,153.0,Deluxe Double or Twin Room
2,2024,40.41530745,-3.69904719,140.0,Standard Single Room with Shared Bathroom
2,2024,40.43586356,-3.68184283,163.0,Standard Double or Twin Room
2,2024,40.45099256,-3.59465897,99.0,Standard Double or Twin Room
2,2024,40.406542,-3.7068808,36.0,Bunk Bed in Mixed Dormitory Room
2,2024,40.43051355,-3.66425693,157.0,Double Room
2,2024,40.39596747,-3.67088504,109.0,Double Room with Bunk Bed
2,2024,40.39889583,-3.6700666,150.0,Standard Double or Twin Room
2,2024,40.5137339,-3.67300898,99.0,Double Room
2,2024,40.43109237,-3.68746743,102.0,Single Room
2,2024,40.46281026,-3.67627859,150.0,Double or Twin Room
2,2024,40.43837356,-3.69514793,180.0,Superior Double or Twin Room
2,2024,40.41433539,-3.70236307,132.0,Single Room
2,2024,40.475935,-3.712702,118.0,Queen Room with Spa Bath
2,2024,40.40778583,-3.68938923,129.0,Basic Single Room
2,2024,40.41184389,-3.69792804,155.0,Single Room
2,2024,40.47020024,-3.5806632,104.0,Superior Double Room
2,2024,40.412323,-3.699992,37.0,Bunk Bed in Mixed Dormitory Room
2,2024,40.421377,-3.6991146,55.0,Quadruple Room
2,2024,40.41608,-3.7074342,65.0,Quadruple Room with Balcony
2,2024,40.41449365,-3.70012745,152.0,Single Room
2,2024,40.44715118,-3.70575875,143.0,Twin Room
2,2024,40.44925049,-3.57680619,97.0,Double Room (1 Adult)
